onset,pitch,duration,staff
0.0,76,1.998,0.0
0.0,70,1.998,0.0
0.0,67,1.998,0.0
0.0,64,1.998,0.0
0.0,60,1.998,0.0
0.0,48,1.998,0.0
2.0,77,0.435,0.0
2.0,69,0.435,0.0
2.0,65,0.435,0.0
2.0,53,0.435,0.0
2.0,41,0.435,0.0
4.0,71,1.998,0.0
4.0,65,1.998,0.0
4.0,62,1.998,0.0
4.0,55,1.998,0.0
4.0,43,1.998,0.0
6.0,72,0.435,0.0
6.0,64,0.435,0.0
6.0,60,0.435,0.0
6.0,57,0.435,0.0
6.0,45,0.435,0.0
8.0,78,1.998,0.0
8.0,72,1.998,0.0
8.0,69,1.998,0.0
8.0,66,1.998,0.0
8.0,62,1.998,0.0
8.0,50,1.998,0.0
10.0,78,0.998,0.0
10.0,72,0.998,0.0
10.0,69,0.998,0.0
10.0,66,0.998,0.0
10.0,62,0.998,0.0
10.0,50,0.998,0.0
11.0,78,0.998,0.0
11.0,72,0.998,0.0
11.0,69,0.998,0.0
11.0,66,0.998,0.0
11.0,62,0.998,0.0
11.0,50,0.998,0.0
12.0,79,1.498,0.0
12.0,71,1.498,0.0
12.0,67,1.498,0.0
12.0,62,1.498,0.0
12.0,59,1.498,0.0
12.0,55,1.498,0.0
13.5,68,0.498,0.0
14.0,69,0.498,0.0
14.5,65,0.498,0.0
15.0,62,0.498,0.0
15.5,60,0.446,0.0
16.0,79,4.0,0.0
16.0,67,3.998,0.0
16.0,59,0.748,0.0
16.0,43,0.498,0.0
16.5,55,0.498,0.0
16.75,62,0.123,0.0
16.875,60,0.123,0.0
17.0,77,0.998,0.0
17.0,59,1.248,0.0
17.0,55,0.498,0.0
17.5,55,0.498,0.0
18.0,74,0.998,0.0
18.0,55,0.498,0.0
18.0,53,0.498,0.0
18.25,60,0.248,0.0
18.5,62,0.248,0.0
18.5,55,0.498,0.0
18.5,53,0.498,0.0
18.75,64,0.248,0.0
19.0,71,0.935,0.0
19.0,65,0.248,0.0
19.0,55,0.498,0.0
19.0,53,0.498,0.0
19.25,62,0.248,0.0
19.5,60,0.248,0.0
19.5,55,0.498,0.0
19.5,53,0.498,0.0
19.75,59,0.248,0.0
20.0,67,1.248,0.0
20.0,79,0.998,0.0
20.0,62,0.748,0.0
20.0,55,0.498,0.0
20.0,52,0.498,0.0
20.5,55,0.435,0.0
20.5,52,0.435,0.0
20.75,60,0.248,0.0
21.0,79,0.498,0.0
21.0,60,1.248,0.0
21.0,55,0.498,0.0
21.0,52,0.498,0.0
21.25,78,0.248,0.0
21.25,66,0.248,0.0
21.5,79,0.435,0.0
21.5,67,0.248,0.0
21.5,55,0.498,0.0
21.5,52,0.498,0.0
21.75,78,0.248,0.0
21.75,66,0.248,0.0
22.0,76,0.998,0.0
22.0,79,0.246,0.0
22.0,67,0.246,0.0
22.0,55,0.498,0.0
22.0,52,0.498,0.0
22.25,59,0.248,0.0
22.5,60,0.248,0.0
22.5,79,0.246,0.0
