onset,pitch,duration,staff
0.0,76,0.45,0.0
0.0,80,0.45,0.0
0.0,83,0.45,0.0
0.0,88,0.45,0.0
0.0,52,0.45,0.0
0.0,47,0.45,0.0
0.0,44,0.45,0.0
0.0,40,0.45,0.0
0.5,64,0.225,0.0
0.5,52,0.225,0.0
0.75,64,0.225,0.0
0.75,52,0.225,0.0
1.0,64,0.179,0.0
1.0,52,0.179,0.0
4.0,74,0.45,0.0
4.0,83,0.45,0.0
4.0,86,0.45,0.0
4.0,52,0.45,0.0
4.0,40,0.45,0.0
4.5,64,0.225,0.0
4.5,52,0.225,0.0
4.75,64,0.225,0.0
4.75,52,0.225,0.0
5.0,64,0.179,0.0
5.0,52,0.179,0.0
8.0,71,0.45,0.0
8.0,64,0.45,0.0
8.0,52,0.45,0.0
8.0,40,0.45,0.0
8.5,71,0.225,0.0
8.5,59,0.225,0.0
8.5,56,0.225,0.0
8.75,73,0.225,0.0
9.0,76,0.225,0.0
9.0,57,0.225,0.0
9.0,54,0.225,0.0
9.0,64,0.9,0.0
9.0,52,0.9,0.0
9.25,74,0.225,0.0
9.5,73,0.225,0.0
9.5,59,0.225,0.0
9.5,56,0.225,0.0
9.75,71,0.225,0.0
10.0,73,0.45,0.0
10.0,64,0.45,0.0
10.0,69,0.45,0.0
10.0,52,0.45,0.0
10.0,40,0.45,0.0
10.5,73,0.225,0.0
10.5,61,0.225,0.0
10.5,57,0.225,0.0
10.75,74,0.225,0.0
11.0,78,0.225,0.0
11.0,59,0.225,0.0
11.0,56,0.225,0.0
11.0,64,0.9,0.0
11.0,52,0.9,0.0
11.25,76,0.225,0.0
11.5,74,0.225,0.0
11.5,61,0.225,0.0
11.5,57,0.225,0.0
11.75,73,0.225,0.0
12.0,71,0.45,0.0
12.0,64,0.45,0.0
12.0,52,0.45,0.0
12.0,40,0.45,0.0
12.5,71,0.225,0.0
12.5,59,0.225,0.0
12.5,56,0.225,0.0
12.75,73,0.225,0.0
13.0,76,0.225,0.0
13.0,57,0.225,0.0
13.0,54,0.225,0.0
13.0,64,0.9,0.0
13.0,52,0.9,0.0
13.25,74,0.225,0.0
13.5,73,0.225,0.0
13.5,59,0.225,0.0
13.5,56,0.225,0.0
13.75,71,0.225,0.0
14.0,73,0.675,0.0
14.0,61,0.45,0.0
14.0,64,0.45,0.0
14.0,69,0.45,0.0
14.0,57,0.45,0.0
14.0,52,0.45,0.0
14.5,62,0.225,0.0
14.75,64,0.225,0.0
14.75,81,0.225,0.0
14.75,73,0.225,0.0
14.75,69,0.225,0.0
15.0,81,1.0,0.0
15.0,66,0.225,0.0
15.0,57,0.9,0.0
15.0,73,0.9,0.0
15.0,69,0.9,0.0
15.25,64,0.225,0.0
15.5,62,0.225,0.0
15.75,61,0.225,0.0
16.0,81,0.45,0.0
16.0,68,0.45,0.0
16.0,71,0.45,0.0
16.0,52,0.45,0.0
16.0,40,0.45,0.0
16.5,71,0.225,0.0
16.5,59,0.225,0.0
16.5,56,0.225,0.0
16.75,73,0.225,0.0
17.0,76,0.225,0.0
17.0,57,0.225,0.0
17.0,54,0.225,0.0
17.0,64,0.9,0.0
17.0,52,0.9,0.0
17.25,74,0.225,0.0
17.5,73,0.225,0.0
17.5,59,0.225,0.0
17.5,56,0.225,0.0
17.75,71,0.225,0.0
18.0,73,0.45,0.0
18.0,64,0.45,0.0
18.0,69,0.45,0.0
18.0,52,0.45,0.0
18.0,40,0.45,0.0
18.5,73,0.225,0.0
18.5,61,0.225,0.0
18.5,57,0.225,0.0
18.75,74,0.225,0.0
19.0,78,0.225,0.0
19.0,59,0.225,0.0
19.0,56,0.225,0.0
19.0,64,0.9,0.0
19.0,52,0.9,0.0
19.25,76,0.225,0.0
19.5,74,0.225,0.0
19.5,61,0.225,0.0
19.5,57,0.225,0.0
19.75,73,0.225,0.0
20.0,71,0.45,0.0
20.0,68,0.45,0.0
20.0,71,0.45,0.0
20.0,52,0.45,0.0
20.0,40,0.45,0.0
20.5,71,0.225,0.0
20.5,59,0.225,0.0
20.5,56,0.225,0.0
20.75,73,0.225,0.0
21.0,76,0.225,0.0
21.0,57,0.225,0.0
21.0,54,0.225,0.0
21.0,64,0.9,0.0
21.0,52,0.9,0.0
21.25,74,0.225,0.0
21.5,73,0.225,0.0
21.5,59,0.225,0.0
21.5,56,0.225,0.0
21.75,71,0.225,0.0
22.0,57,0.225,0.0
22.0,45,0.45,0.0
22.0,61,0.179,0.0
22.0,64,0.179,0.0
22.0,69,0.179,0.0
22.25,59,0.225,0.0
22.5,61,0.225,0.0
22.75,62,0.225,0.0
22.75,93,0.225,0.0
22.75,85,0.225,0.0
22.75,81,0.225,0.0
23.0,64,0.225,0.0
23.0,93,0.45,0.0
23.0,85,0.45,0.0
23.0,81,0.45,0.0
23.25,66,0.225,0.0
23.5,68,0.225,0.0
23.75,69,0.225,0.0
24.0,71,0.45,0.0
24.0,64,0.45,0.0
24.0,52,0.45,0.0
24.0,40,0.45,0.0
24.5,71,0.225,0.0
24.5,59,0.225,0.0
24.5,56,0.225,0.0
24.75,73,0.225,0.0
25.0,76,0.225,0.0
25.0,57,0.225,0.0
25.0,54,0.225,0.0
25.0,64,0.9,0.0
25.0,52,0.9,0.0
25.25,74,0.225,0.0
25.5,73,0.225,0.0
25.5,59,0.225,0.0
25.5,56,0.225,0.0
25.75,71,0.225,0.0
26.0,73,0.45,0.0
26.0,64,0.45,0.0
26.0,69,0.45,0.0
26.0,52,0.45,0.0
26.0,40,0.45,0.0
26.5,73,0.225,0.0
26.5,61,0.225,0.0
26.5,57,0.225,0.0
26.75,74,0.225,0.0
27.0,78,0.225,0.0
27.0,59,0.225,0.0
27.0,56,0.225,0.0
27.0,64,0.9,0.0
27.0,52,0.9,0.0
27.25,76,0.225,0.0
27.5,74,0.225,0.0
27.5,61,0.225,0.0
27.5,57,0.225,0.0
27.75,73,0.225,0.0
28.0,71,0.45,0.0
28.0,64,0.45,0.0
28.0,52,0.45,0.0
28.0,40,0.45,0.0
28.5,71,0.225,0.0
28.5,59,0.225,0.0
28.5,56,0.225,0.0
28.75,73,0.225,0.0
29.0,76,0.225,0.0
29.0,57,0.225,0.0
29.0,54,0.225,0.0
29.0,64,0.9,0.0
29.0,52,0.9,0.0
29.25,74,0.225,0.0
29.5,73,0.225,0.0
29.5,59,0.225,0.0
29.5,56,0.225,0.0
29.75,71,0.225,0.0
30.0,73,0.675,0.0
30.0,61,0.45,0.0
30.0,64,0.45,0.0
30.0,69,0.45,0.0
30.0,57,0.45,0.0
30.0,52,0.45,0.0
30.5,62,0.225,0.0
30.75,64,0.225,0.0
30.75,81,0.225,0.0
30.75,73,0.225,0.0
30.75,69,0.225,0.0
31.0,81,1.0,0.0
31.0,66,0.225,0.0
31.0,57,0.9,0.0
31.0,73,0.9,0.0
31.0,69,0.9,0.0
31.25,64,0.225,0.0
31.5,62,0.225,0.0
31.75,61,0.225,0.0
32.0,81,0.45,0.0
32.0,68,0.45,0.0
32.0,71,0.45,0.0
32.0,52,0.45,0.0
32.0,40,0.45,0.0
32.5,71,0.225,0.0
32.5,59,0.225,0.0
32.5,56,0.225,0.0
32.75,73,0.225,0.0
33.0,76,0.225,0.0
33.0,57,0.225,0.0
33.0,54,0.225,0.0
33.0,64,0.9,0.0
33.0,52,0.9,0.0
33.25,74,0.225,0.0
33.5,73,0.225,0.0
33.5,59,0.225,0.0
33.5,56,0.225,0.0
33.75,71,0.225,0.0
34.0,73,0.45,0.0
34.0,64,0.45,0.0
34.0,69,0.45,0.0
34.0,52,0.45,0.0
34.0,40,0.45,0.0
34.5,73,0.225,0.0
34.5,61,0.225,0.0
34.5,57,0.225,0.0
34.75,74,0.225,0.0
35.0,78,0.225,0.0
35.0,59,0.225,0.0
35.0,56,0.225,0.0
35.0,64,0.9,0.0
35.0,52,0.9,0.0
35.25,76,0.225,0.0
35.5,74,0.225,0.0
35.5,61,0.225,0.0
35.5,57,0.225,0.0
35.75,73,0.225,0.0
36.0,71,0.45,0.0
36.0,68,0.45,0.0
36.0,71,0.45,0.0
36.0,52,0.45,0.0
36.0,40,0.45,0.0
36.5,71,0.225,0.0
36.5,59,0.225,0.0
36.5,56,0.225,0.0
36.75,73,0.225,0.0
37.0,76,0.225,0.0
37.0,57,0.225,0.0
37.0,54,0.225,0.0
37.0,64,0.9,0.0
37.0,52,0.9,0.0
37.25,74,0.225,0.0
37.5,73,0.225,0.0
37.5,59,0.225,0.0
37.5,56,0.225,0.0
37.75,71,0.225,0.0
38.0,57,0.225,0.0
38.0,45,0.45,0.0
38.0,61,0.45,0.0
38.0,64,0.45,0.0
38.0,69,0.45,0.0
38.25,61,0.225,0.0
38.5,64,0.225,0.0
38.75,66,0.225,0.0
38.75,93,0.225,0.0
38.75,85,0.225,0.0
38.75,81,0.225,0.0
39.0,67,0.225,0.0
39.0,93,0.45,0.0
39.0,85,0.45,0.0
39.0,81,0.45,0.0
39.25,66,0.225,0.0
39.5,67,0.225,0.0
39.75,64,0.225,0.0
40.0,78,0.45,0.0
40.0,66,0.45,0.0
40.0,38,0.45,0.0
40.0,50,0.45,0.0
40.5,78,0.225,0.0
40.5,62,0.225,0.0
40.5,57,0.225,0.0
40.5,54,0.225,0.0
40.75,79,0.225,0.0
41.0,83,0.225,0.0
41.0,69,0.9,0.0
41.0,62,0.225,0.0
41.0,57,0.225,0.0
41.0,53,0.225,0.0
41.25,81,0.225,0.0
41.5,80,0.225,0.0
41.5,62,0.225,0.0
41.5,57,0.225,0.0
41.5,54,0.225,0.0
41.75,78,0.225,0.0
42.0,76,0.45,0.0
42.0,64,0.45,0.0
42.0,69,0.45,0.0
42.0,37,0.45,0.0
42.0,49,0.45,0.0
42.5,76,0.225,0.0
42.5,64,0.225,0.0
42.5,61,0.225,0.0
42.5,57,0.225,0.0
42.75,78,0.225,0.0
43.0,81,0.225,0.0
43.0,69,0.9,0.0
43.0,63,0.225,0.0
43.0,61,0.225,0.0
43.0,57,0.225,0.0
43.25,80,0.225,0.0
43.5,78,0.225,0.0
43.5,64,0.225,0.0
43.5,61,0.225,0.0
43.5,57,0.225,0.0
43.75,76,0.225,0.0
44.0,78,0.45,0.0
44.0,66,0.45,0.0
44.0,38,0.45,0.0
44.0,50,0.45,0.0
44.5,78,0.225,0.0
44.5,62,0.225,0.0
44.5,57,0.225,0.0
44.5,54,0.225,0.0
44.75,79,0.225,0.0
