onset,pitch,duration,staff
0.0,65,0.135,0.0
0.0,62,0.135,0.0
0.0,58,0.135,0.0
0.0,53,0.135,0.0
0.25,65,0.135,0.0
0.25,62,0.135,0.0
0.25,58,0.135,0.0
0.25,53,0.135,0.0
0.5,65,0.135,0.0
0.5,62,0.135,0.0
0.5,58,0.135,0.0
0.5,53,0.135,0.0
0.75,65,0.135,0.0
0.75,62,0.135,0.0
0.75,58,0.135,0.0
0.75,53,0.135,0.0
1.0,65,0.135,0.0
1.0,62,0.135,0.0
1.0,58,0.135,0.0
1.0,53,0.135,0.0
1.25,65,0.135,0.0
1.25,62,0.135,0.0
1.25,58,0.135,0.0
1.25,53,0.135,0.0
1.5,65,0.135,0.0
1.5,62,0.135,0.0
1.5,58,0.135,0.0
1.5,53,0.135,0.0
1.75,76,0.067,0.0
1.75,65,0.135,0.0
1.75,62,0.135,0.0
1.75,58,0.135,0.0
1.75,53,0.135,0.0
1.875,79,0.067,0.0
2.0,77,0.135,0.0
2.0,65,0.135,0.0
2.0,62,0.135,0.0
2.0,58,0.135,0.0
2.0,53,0.135,0.0
2.25,76,0.067,0.0
2.25,65,0.135,0.0
2.25,62,0.135,0.0
2.25,58,0.135,0.0
2.25,53,0.135,0.0
2.375,79,0.067,0.0
2.5,77,0.135,0.0
2.5,65,0.135,0.0
2.5,62,0.135,0.0
2.5,58,0.135,0.0
2.5,53,0.135,0.0
2.75,76,0.067,0.0
2.75,65,0.135,0.0
2.75,62,0.135,0.0
2.75,58,0.135,0.0
2.75,53,0.135,0.0
2.875,79,0.113,0.0
3.0,77,0.675,0.0
3.0,65,0.135,0.0
3.0,62,0.135,0.0
3.0,58,0.135,0.0
3.0,53,0.135,0.0
3.25,65,0.135,0.0
3.25,62,0.135,0.0
3.25,58,0.135,0.0
3.25,53,0.135,0.0
3.5,65,0.135,0.0
3.5,62,0.135,0.0
3.5,58,0.135,0.0
3.5,53,0.135,0.0
3.75,74,0.225,0.0
3.75,70,0.225,0.0
3.75,65,0.135,0.0
3.75,62,0.135,0.0
3.75,58,0.135,0.0
3.75,53,0.135,0.0
4.0,74,0.113,0.0
4.0,65,0.225,0.0
4.0,69,0.225,0.0
4.0,63,0.135,0.0
4.0,60,0.135,0.0
4.0,53,0.135,0.0
4.125,72,0.067,0.0
4.25,72,0.067,0.0
4.25,65,0.135,0.0
4.25,60,0.135,0.0
4.25,57,0.135,0.0
4.25,53,0.135,0.0
4.375,74,0.067,0.0
4.5,75,0.135,0.0
4.5,65,0.135,0.0
4.5,60,0.135,0.0
4.5,57,0.135,0.0
4.5,53,0.135,0.0
4.75,72,0.067,0.0
4.75,65,0.135,0.0
4.75,60,0.135,0.0
4.75,57,0.135,0.0
4.75,53,0.135,0.0
4.875,74,0.113,0.0
5.0,70,0.225,0.0
5.0,65,0.225,0.0
5.0,62,0.135,0.0
5.0,58,0.135,0.0
5.0,53,0.135,0.0
5.25,65,0.135,0.0
5.25,62,0.135,0.0
5.25,58,0.135,0.0
5.25,53,0.135,0.0
5.5,65,0.135,0.0
5.5,62,0.135,0.0
5.5,58,0.135,0.0
5.5,53,0.135,0.0
5.75,34,0.062,0.0
5.75,34,0.25,0.0
5.75,65,0.135,0.0
5.75,62,0.135,0.0
5.75,58,0.135,0.0
5.75,53,0.135,0.0
5.875,36,0.062,0.0
6.0,38,0.125,0.0
6.0,38,0.125,0.0
6.0,34,0.25,0.0
6.0,65,0.135,0.0
6.0,62,0.135,0.0
6.0,58,0.135,0.0
6.0,53,0.135,0.0
6.25,38,0.062,0.0
6.25,38,0.062,0.0
6.25,65,0.135,0.0
6.25,62,0.135,0.0
6.25,58,0.135,0.0
6.25,53,0.135,0.0
6.375,39,0.062,0.0
6.375,39,0.062,0.0
6.5,41,0.125,0.0
6.5,41,0.125,0.0
6.5,65,0.135,0.0
6.5,62,0.135,0.0
6.5,58,0.135,0.0
6.5,53,0.135,0.0
6.75,42,0.062,0.0
6.75,36,0.5,0.0
6.75,42,0.062,0.0
6.75,62,0.135,0.0
6.75,58,0.135,0.0
6.75,54,0.135,0.0
6.75,50,0.135,0.0
6.875,38,0.062,0.0
6.875,38,0.062,0.0
7.0,43,0.5,0.0
7.0,43,0.5,0.0
7.0,62,0.135,0.0
7.0,58,0.135,0.0
7.0,55,0.135,0.0
7.0,50,0.135,0.0
7.25,62,0.135,0.0
7.25,58,0.135,0.0
7.25,55,0.135,0.0
7.25,50,0.135,0.0
7.5,62,0.135,0.0
7.5,58,0.135,0.0
7.5,55,0.135,0.0
7.5,50,0.135,0.0
7.75,62,0.135,0.0
7.75,58,0.135,0.0
7.75,55,0.135,0.0
7.75,50,0.135,0.0
8.0,62,0.135,0.0
8.0,58,0.135,0.0
8.0,55,0.135,0.0
8.0,50,0.135,0.0
8.25,62,0.135,0.0
8.25,58,0.135,0.0
8.25,55,0.135,0.0
8.25,50,0.135,0.0
8.5,62,0.135,0.0
8.5,58,0.135,0.0
8.5,55,0.135,0.0
8.5,50,0.135,0.0
8.75,73,0.056,0.0
8.75,62,0.135,0.0
8.75,58,0.135,0.0
8.75,55,0.135,0.0
8.75,50,0.135,0.0
8.875,75,0.056,0.0
9.0,74,0.113,0.0
9.0,62,0.135,0.0
9.0,58,0.135,0.0
9.0,55,0.135,0.0
9.0,50,0.135,0.0
9.25,73,0.056,0.0
9.25,62,0.135,0.0
9.25,58,0.135,0.0
9.25,55,0.135,0.0
9.25,50,0.135,0.0
9.375,75,0.056,0.0
9.5,74,0.113,0.0
9.5,62,0.135,0.0
9.5,58,0.135,0.0
9.5,55,0.135,0.0
9.5,50,0.135,0.0
9.75,73,0.056,0.0
9.75,62,0.135,0.0
9.75,58,0.135,0.0
9.75,55,0.135,0.0
9.75,50,0.135,0.0
9.875,75,0.113,0.0
10.0,74,0.675,0.0
10.0,62,0.135,0.0
10.0,58,0.135,0.0
10.0,55,0.135,0.0
10.0,50,0.135,0.0
10.25,62,0.135,0.0
10.25,58,0.135,0.0
10.25,55,0.135,0.0
10.25,50,0.135,0.0
10.5,62,0.135,0.0
10.5,58,0.135,0.0
10.5,55,0.135,0.0
10.5,50,0.135,0.0
10.75,82,0.225,0.0
10.75,79,0.225,0.0
10.75,74,0.225,0.0
10.75,62,0.135,0.0
10.75,58,0.135,0.0
10.75,55,0.135,0.0
10.75,50,0.135,0.0
11.0,82,0.113,0.0
11.0,78,0.225,0.0
11.0,74,0.225,0.0
11.0,62,0.135,0.0
11.0,60,0.135,0.0
11.0,57,0.135,0.0
11.0,50,0.135,0.0
11.125,81,0.113,0.0
11.25,81,0.056,0.0
11.25,78,0.113,0.0
11.25,74,0.113,0.0
11.25,62,0.135,0.0
11.25,60,0.135,0.0
11.25,57,0.135,0.0
11.25,50,0.135,0.0
11.375,82,0.056,0.0
11.5,84,0.113,0.0
11.5,78,0.113,0.0
11.5,74,0.113,0.0
11.5,62,0.135,0.0
11.5,57,0.135,0.0
11.5,54,0.135,0.0
11.5,50,0.135,0.0
11.75,81,0.056,0.0
11.75,78,0.113,0.0
11.75,74,0.113,0.0
11.75,62,0.135,0.0
11.75,57,0.135,0.0
11.75,54,0.135,0.0
11.75,50,0.135,0.0
11.875,82,0.113,0.0
12.0,79,0.225,0.0
12.0,74,0.225,0.0
12.0,70,0.225,0.0
12.0,62,0.135,0.0
12.0,58,0.135,0.0
12.0,55,0.135,0.0
12.0,50,0.135,0.0
12.25,62,0.135,0.0
12.25,58,0.135,0.0
12.25,55,0.135,0.0
12.25,50,0.135,0.0
12.5,62,0.135,0.0
12.5,58,0.135,0.0
12.5,55,0.135,0.0
12.5,50,0.135,0.0
12.75,67,0.135,0.0
12.75,62,0.135,0.0
12.75,58,0.135,0.0
12.75,31,0.056,0.0
12.75,43,0.056,0.0
12.875,33,0.056,0.0
12.875,45,0.056,0.0
13.0,67,0.135,0.0
13.0,62,0.135,0.0
13.0,58,0.135,0.0
13.0,34,0.113,0.0
13.0,46,0.113,0.0
13.25,67,0.135,0.0
13.25,62,0.135,0.0
13.25,58,0.135,0.0
13.25,34,0.056,0.0
13.25,46,0.056,0.0
13.375,36,0.056,0.0
13.375,48,0.056,0.0
13.5,67,0.135,0.0
13.5,62,0.135,0.0
13.5,58,0.135,0.0
13.5,38,0.113,0.0
13.5,50,0.113,0.0
13.75,67,0.135,0.0
13.75,62,0.135,0.0
13.75,58,0.135,0.0
