onset,pitch,duration,staff
0.0,82,1.0,0.0
0.0,77,1.0,0.0
0.0,74,1.0,0.0
0.0,70,1.0,0.0
0.0,57,0.9,0.0
0.0,62,0.9,0.0
0.0,65,0.9,0.0
0.0,69,0.9,0.0
1.0,82,1.498,0.0
1.0,77,1.498,0.0
1.0,74,1.498,0.0
1.0,70,1.498,0.0
1.0,41,0.248,0.0
1.0,45,0.248,0.0
1.25,53,0.248,0.0
1.5,41,0.248,0.0
1.5,45,0.248,0.0
1.75,53,0.248,0.0
2.0,41,0.248,0.0
2.0,45,0.248,0.0
2.25,53,0.248,0.0
2.5,81,0.25,0.0
2.5,69,0.25,0.0
2.5,41,0.248,0.0
2.5,45,0.248,0.0
2.75,53,0.248,0.0
3.0,81,0.25,0.0
3.0,69,0.25,0.0
3.0,41,0.248,0.0
3.0,45,0.248,0.0
3.25,53,0.248,0.0
3.5,86,0.113,0.0
3.5,74,0.113,0.0
3.5,41,0.248,0.0
3.5,45,0.248,0.0
3.75,53,0.225,0.0
4.0,86,0.25,0.0
4.0,74,0.25,0.0
4.0,41,0.248,0.0
4.0,45,0.248,0.0
4.25,53,0.248,0.0
4.5,89,0.25,0.0
4.5,77,0.25,0.0
4.5,41,0.248,0.0
4.5,45,0.248,0.0
4.75,53,0.248,0.0
5.0,89,0.25,0.0
5.0,77,0.25,0.0
5.0,41,0.248,0.0
5.0,45,0.248,0.0
5.25,53,0.248,0.0
5.5,93,0.25,0.0
5.5,81,0.25,0.0
5.5,41,0.248,0.0
5.5,45,0.248,0.0
5.75,53,0.248,0.0
6.0,93,0.25,0.0
6.0,81,0.25,0.0
6.0,41,0.248,0.0
6.0,45,0.248,0.0
6.25,53,0.248,0.0
6.5,86,0.113,0.0
6.5,74,0.113,0.0
6.5,41,0.248,0.0
6.5,45,0.248,0.0
6.75,53,0.225,0.0
7.0,86,0.498,0.0
7.0,74,0.498,0.0
7.0,41,0.248,0.0
7.0,45,0.248,0.0
7.25,50,0.248,0.0
7.5,38,0.248,0.0
7.5,89,0.498,0.0
7.5,77,0.498,0.0
7.75,50,0.248,0.0
8.0,38,0.248,0.0
8.0,89,0.498,0.0
8.0,77,0.498,0.0
8.25,50,0.248,0.0
8.5,38,0.248,0.0
8.5,81,0.498,0.0
8.5,69,0.498,0.0
8.75,50,0.248,0.0
9.0,38,0.248,0.0
9.0,81,0.498,0.0
9.0,69,0.498,0.0
9.25,50,0.248,0.0
9.5,38,0.248,0.0
9.5,86,0.45,0.0
9.5,74,0.45,0.0
9.75,50,0.225,0.0
10.0,38,0.248,0.0
10.0,86,0.498,0.0
10.0,74,0.498,0.0
10.25,50,0.248,0.0
10.5,38,0.248,0.0
10.5,77,0.498,0.0
10.5,65,0.498,0.0
10.75,50,0.248,0.0
11.0,38,0.248,0.0
11.0,77,0.498,0.0
11.0,65,0.498,0.0
11.25,50,0.248,0.0
11.5,38,0.248,0.0
11.5,81,0.498,0.0
11.5,69,0.498,0.0
11.75,50,0.248,0.0
12.0,38,0.248,0.0
12.0,81,0.498,0.0
12.0,69,0.498,0.0
12.25,50,0.248,0.0
12.5,38,0.248,0.0
12.5,74,0.45,0.0
12.5,62,0.45,0.0
12.75,50,0.225,0.0
13.0,38,0.498,0.0
13.0,74,0.498,0.0
13.0,62,0.498,0.0
13.5,84,0.498,0.0
13.5,77,0.498,0.0
13.5,72,0.498,0.0
13.5,62,0.498,0.0
13.5,50,0.498,0.0
14.0,84,0.498,0.0
14.0,77,0.498,0.0
14.0,72,0.498,0.0
14.0,62,0.498,0.0
14.0,50,0.498,0.0
14.5,84,0.498,0.0
14.5,78,0.498,0.0
14.5,72,0.498,0.0
14.5,60,0.498,0.0
14.5,48,0.498,0.0
15.0,84,0.498,0.0
15.0,78,0.498,0.0
15.0,72,0.498,0.0
15.0,60,0.498,0.0
15.0,48,0.498,0.0
15.5,84,0.45,0.0
15.5,78,0.45,0.0
15.5,72,0.45,0.0
15.5,59,0.45,0.0
15.5,47,0.45,0.0
16.0,84,0.498,0.0
16.0,79,0.498,0.0
16.0,72,0.498,0.0
16.0,59,0.498,0.0
16.0,47,0.498,0.0
16.5,84,0.498,0.0
16.5,80,0.498,0.0
16.5,72,0.498,0.0
16.5,58,0.498,0.0
16.5,46,0.498,0.0
17.0,84,0.498,0.0
17.0,80,0.498,0.0
17.0,72,0.498,0.0
17.0,58,0.498,0.0
17.0,46,0.498,0.0
17.5,84,0.498,0.0
17.5,80,0.498,0.0
17.5,72,0.498,0.0
17.5,58,0.498,0.0
17.5,46,0.498,0.0
18.0,84,0.498,0.0
18.0,80,0.498,0.0
18.0,72,0.498,0.0
18.0,46,0.498,0.0
18.0,58,0.498,0.0
18.5,89,0.45,0.0
18.5,85,0.45,0.0
18.5,77,0.45,0.0
18.5,34,0.45,0.0
18.5,46,0.45,0.0
19.0,89,0.998,0.0
19.0,86,0.998,0.0
19.0,77,0.998,0.0
19.0,34,0.998,0.0
19.0,46,0.998,0.0
20.0,93,0.45,0.0
20.0,81,0.45,0.0
20.0,33,0.45,0.0
20.0,45,0.45,0.0
24.0,57,0.9,0.0
24.0,45,0.9,0.0
25.0,64,2.7,0.0
25.0,52,2.7,0.0
29.0,62,0.498,0.0
29.0,50,0.498,0.0
29.5,61,0.498,0.0
29.5,49,0.498,0.0
30.0,62,0.498,0.0
30.0,50,0.498,0.0
30.5,64,0.45,0.0
30.5,52,0.45,0.0
31.0,64,1.498,0.0
31.0,52,1.498,0.0
32.5,55,0.25,0.0
32.5,43,0.25,0.0
33.0,57,0.25,0.0
33.0,45,0.25,0.0
33.5,58,0.113,0.0
33.5,46,0.113,0.0
34.0,58,0.498,0.0
34.0,46,0.498,0.0
34.5,52,0.498,0.0
34.5,40,0.498,0.0
35.0,53,0.498,0.0
35.0,41,0.498,0.0
35.5,55,0.498,0.0
35.5,43,0.498,0.0
36.0,49,0.25,0.0
36.0,37,0.25,0.0
36.5,50,0.113,0.0
36.5,38,0.113,0.0
37.0,52,0.498,0.0
37.0,40,0.498,0.0
37.5,43,0.498,0.0
37.5,31,0.498,0.0
38.0,43,1.498,0.0
38.0,31,1.498,0.0
39.5,45,0.45,0.0
39.5,33,0.45,0.0
40.0,46,0.998,0.0
41.0,58,1.8,0.0
41.0,46,1.8,0.0
44.0,57,1.498,0.0
44.0,45,1.498,0.0
45.5,52,0.45,0.0
45.5,40,0.45,0.0
46.0,55,0.998,0.0
46.0,43,0.998,0.0
47.0,53,0.998,0.0
47.0,41,0.998,0.0
48.0,38,0.248,0.0
48.0,62,1.0,0.0
48.0,74,1.0,0.0
48.25,50,0.248,0.0
48.5,38,0.248,0.0
48.75,50,0.225,0.0
49.0,38,0.248,0.0
49.0,62,1.998,0.0
49.0,74,1.998,0.0
49.25,50,0.248,0.0
49.5,38,0.248,0.0
49.75,50,0.248,0.0
50.0,38,0.248,0.0
50.25,50,0.248,0.0
50.5,38,0.248,0.0
50.75,50,0.248,0.0
51.0,87,1.0,0.0
51.0,78,1.0,0.0
51.0,81,1.0,0.0
51.0,75,1.0,0.0
51.0,69,0.9,0.0
51.0,66,0.9,0.0
51.0,60,0.9,0.0
