onset,pitch,duration,staff
0.0,79,0.45,0.0
0.0,75,0.45,0.0
0.0,70,0.45,0.0
0.0,67,0.45,0.0
0.0,79,0.45,0.0
0.0,75,0.45,0.0
0.0,70,0.45,0.0
0.0,67,0.45,0.0
0.0,39,0.45,0.0
0.0,67,0.45,0.0
0.0,63,0.45,0.0
0.0,58,0.45,0.0
0.0,55,0.45,0.0
0.0,39,0.45,0.0
0.0,79,0.45,0.0
0.0,75,0.45,0.0
0.0,70,0.45,0.0
0.0,67,0.45,0.0
0.083,46,0.433,0.0
0.083,46,0.433,0.0
0.167,51,0.392,0.0
0.167,51,0.392,0.0
0.25,55,0.35,0.0
0.25,55,0.35,0.0
3.0,75,0.45,0.0
3.0,70,0.45,0.0
3.0,79,0.45,0.0
3.0,67,0.45,0.0
3.0,75,0.45,0.0
3.0,70,0.45,0.0
3.0,79,0.45,0.0
3.0,67,0.45,0.0
3.0,39,0.45,0.0
3.0,63,0.45,0.0
3.0,58,0.45,0.0
3.0,67,0.45,0.0
3.0,55,0.45,0.0
3.0,39,0.45,0.0
3.0,75,0.45,0.0
3.0,70,0.45,0.0
3.0,79,0.45,0.0
3.0,67,0.45,0.0
3.083,46,0.433,0.0
3.083,46,0.433,0.0
3.167,51,0.392,0.0
3.167,51,0.392,0.0
3.25,55,0.35,0.0
3.25,55,0.35,0.0
6.0,51,1.998,0.0
6.0,58,0.498,0.0
6.0,67,0.498,0.0
6.5,58,0.498,0.0
6.5,67,0.498,0.0
7.0,58,0.498,0.0
7.0,67,0.498,0.0
7.5,58,0.498,0.0
7.5,67,0.498,0.0
8.0,55,0.9,0.0
8.0,58,0.498,0.0
8.0,67,0.498,0.0
8.5,58,0.45,0.0
8.5,67,0.45,0.0
9.0,51,1.998,0.0
9.0,58,0.498,0.0
9.0,67,0.498,0.0
9.5,58,0.498,0.0
9.5,67,0.498,0.0
10.0,58,0.498,0.0
10.0,67,0.498,0.0
10.5,58,0.498,0.0
10.5,67,0.498,0.0
11.0,46,0.9,0.0
11.0,58,0.498,0.0
11.0,67,0.498,0.0
11.5,58,0.45,0.0
11.5,67,0.45,0.0
12.0,51,0.998,0.0
12.0,58,0.498,0.0
12.0,67,0.498,0.0
12.5,58,0.498,0.0
12.5,67,0.498,0.0
13.0,55,0.998,0.0
13.0,58,0.498,0.0
13.0,67,0.498,0.0
13.5,58,0.498,0.0
13.5,67,0.498,0.0
14.0,67,0.498,0.0
14.0,58,0.9,0.0
14.5,67,0.45,0.0
15.0,51,1.998,0.0
15.0,58,0.498,0.0
15.0,67,0.498,0.0
15.5,58,0.498,0.0
15.5,67,0.498,0.0
16.0,58,0.498,0.0
16.0,67,0.498,0.0
16.5,58,0.498,0.0
16.5,67,0.498,0.0
17.0,50,0.9,0.0
17.0,58,0.498,0.0
17.0,67,0.498,0.0
17.5,58,0.45,0.0
17.5,67,0.45,0.0
18.0,49,3.0,0.0
18.0,58,0.498,0.0
18.0,67,0.498,0.0
18.5,79,0.998,0.0
18.5,58,0.498,0.0
18.5,67,0.498,0.0
19.0,58,0.498,0.0
19.0,67,0.498,0.0
19.5,79,0.998,0.0
19.5,58,0.498,0.0
19.5,67,0.498,0.0
20.0,58,0.498,0.0
20.0,67,0.498,0.0
20.5,79,0.5,0.0
20.5,58,0.45,0.0
20.5,67,0.45,0.0
21.0,79,0.498,0.0
21.0,49,2.7,0.0
21.0,58,0.498,0.0
21.0,67,0.498,0.0
21.5,79,0.998,0.0
21.5,58,0.498,0.0
21.5,67,0.498,0.0
22.0,58,0.498,0.0
22.0,67,0.498,0.0
22.5,79,0.998,0.0
22.5,58,0.498,0.0
22.5,67,0.498,0.0
23.0,58,0.498,0.0
23.0,67,0.498,0.0
23.5,79,0.45,0.0
23.5,58,0.45,0.0
23.5,67,0.45,0.0
24.0,79,2.7,0.0
24.0,50,0.498,0.0
24.0,50,2.7,0.0
24.083,58,0.415,0.0
24.167,67,0.331,0.0
24.5,58,0.498,0.0
25.0,67,0.498,0.0
25.5,58,0.498,0.0
26.0,67,0.498,0.0
26.5,58,0.45,0.0
27.0,65,0.498,0.0
27.0,50,1.998,0.0
27.0,80,3.0,0.0
27.0,68,3.0,0.0
27.5,58,0.498,0.0
28.0,65,0.498,0.0
28.5,58,0.498,0.0
29.0,65,0.498,0.0
29.0,50,0.9,0.0
29.5,58,0.45,0.0
30.0,63,0.498,0.0
30.0,51,2.7,0.0
30.0,80,1.998,0.0
30.0,68,1.998,0.0
30.5,58,0.498,0.0
31.0,63,0.498,0.0
31.5,58,0.498,0.0
32.0,63,0.498,0.0
32.0,79,0.9,0.0
32.0,67,0.9,0.0
32.5,58,0.45,0.0
33.0,60,0.498,0.0
33.0,44,0.998,0.0
