onset,pitch,duration,staff
1.0,51,0.373,0.0
1.375,56,0.113,0.0
1.5,60,0.498,0.0
1.5,32,0.225,0.0
2.0,60,0.373,0.0
2.375,58,0.123,0.0
2.5,56,0.373,0.0
2.875,60,0.113,0.0
3.0,53,0.873,0.0
3.0,37,0.225,0.0
3.875,57,0.123,0.0
4.0,58,0.373,0.0
4.375,60,0.113,0.0
4.5,61,0.373,0.0
4.5,34,0.25,0.0
4.875,60,0.123,0.0
5.0,58,0.373,0.0
5.0,31,0.25,0.0
5.375,61,0.123,0.0
5.5,55,0.373,0.0
5.5,34,0.225,0.0
5.875,58,0.113,0.0
6.0,52,0.373,0.0
6.0,36,0.225,0.0
6.375,55,0.123,0.0
6.5,60,0.873,0.0
7.375,58,0.113,0.0
7.5,57,0.373,0.0
7.5,41,0.25,0.0
7.875,53,0.123,0.0
8.0,58,0.748,0.0
8.0,34,0.225,0.0
8.75,61,0.225,0.0
9.0,55,0.373,0.0
9.0,39,0.25,0.0
9.375,51,0.123,0.0
9.5,56,0.498,0.0
9.5,32,0.225,0.0
10.0,56,0.373,0.0
10.375,60,0.113,0.0
10.5,63,1.35,0.0
10.5,39,0.225,0.0
12.0,60,0.25,0.0
12.0,44,0.225,0.0
13.0,56,0.373,0.0
13.0,63,0.373,0.0
13.0,68,0.373,0.0
13.0,60,0.373,0.0
13.0,51,0.373,0.0
13.0,48,0.373,0.0
13.375,60,0.113,0.0
13.375,72,0.113,0.0
13.375,56,0.113,0.0
13.375,44,0.113,0.0
13.5,75,1.35,0.0
13.5,63,1.35,0.0
13.5,55,1.35,0.0
13.5,51,1.35,0.0
13.5,46,1.35,0.0
13.5,39,1.35,0.0
15.0,60,0.998,0.0
15.0,63,0.998,0.0
15.0,72,0.998,0.0
15.0,56,0.998,0.0
15.0,51,0.998,0.0
15.0,44,0.998,0.0
16.0,80,0.373,0.0
16.0,75,0.45,0.0
16.0,72,0.373,0.0
16.0,68,0.373,0.0
16.375,84,0.113,0.0
16.375,72,0.113,0.0
16.375,68,0.113,0.0
16.5,87,1.35,0.0
16.5,75,0.998,0.0
16.5,75,1.35,0.0
16.5,70,1.35,0.0
16.5,67,1.35,0.0
17.5,77,0.248,0.0
17.75,79,0.225,0.0
18.0,85,0.498,0.0
18.0,80,1.35,0.0
18.0,73,0.498,0.0
18.0,68,1.35,0.0
18.0,65,1.35,0.0
18.5,84,0.9,0.0
18.5,72,0.9,0.0
19.5,82,0.498,0.0
19.5,75,1.35,0.0
19.5,70,0.498,0.0
19.5,63,1.35,0.0
19.5,60,1.35,0.0
20.0,80,0.9,0.0
20.0,68,0.9,0.0
21.0,79,0.998,0.0
21.0,75,0.498,0.0
21.0,73,0.498,0.0
21.0,63,0.498,0.0
21.0,70,0.498,0.0
21.5,75,0.498,0.0
21.5,73,0.498,0.0
21.5,63,0.498,0.0
21.5,70,0.498,0.0
22.0,79,0.165,0.0
22.0,70,0.373,0.0
22.0,63,0.45,0.0
22.0,75,0.45,0.0
22.0,73,0.45,0.0
22.167,80,0.165,0.0
22.333,82,0.15,0.0
22.375,67,0.113,0.0
22.5,80,0.748,0.0
22.5,72,0.45,0.0
22.5,56,0.748,0.0
22.5,63,0.748,0.0
22.5,68,0.748,0.0
23.25,68,0.248,0.0
23.25,56,0.248,0.0
23.5,72,0.248,0.0
23.5,60,0.248,0.0
23.75,75,0.225,0.0
23.75,63,0.225,0.0
24.0,68,1.35,0.0
24.0,63,0.248,0.0
24.0,75,0.248,0.0
24.0,41,1.35,0.0
24.0,44,1.35,0.0
24.0,56,1.35,0.0
24.25,61,0.248,0.0
24.25,73,0.248,0.0
24.5,60,0.748,0.0
24.5,72,0.748,0.0
25.25,60,0.225,0.0
25.25,72,0.225,0.0
25.5,63,0.998,0.0
25.5,60,0.248,0.0
25.5,72,0.248,0.0
25.5,36,1.35,0.0
25.5,48,1.35,0.0
25.5,51,1.35,0.0
25.75,58,0.248,0.0
25.75,70,0.248,0.0
26.0,56,0.748,0.0
26.0,68,0.748,0.0
26.5,60,0.45,0.0
26.5,63,0.45,0.0
26.75,56,0.225,0.0
26.75,68,0.225,0.0
27.0,55,0.998,0.0
27.0,67,0.998,0.0
27.0,58,0.498,0.0
27.0,61,0.498,0.0
27.0,63,0.498,0.0
27.0,39,0.498,0.0
27.0,51,0.498,0.0
27.5,58,0.498,0.0
27.5,61,0.498,0.0
27.5,63,0.498,0.0
27.5,39,0.498,0.0
27.5,51,0.498,0.0
28.0,46,0.373,0.0
28.0,55,0.165,0.0
28.0,67,0.165,0.0
28.0,58,0.45,0.0
28.0,61,0.45,0.0
28.0,63,0.45,0.0
28.0,39,0.45,0.0
28.0,51,0.45,0.0
28.167,56,0.165,0.0
28.167,68,0.165,0.0
28.333,58,0.15,0.0
28.333,70,0.15,0.0
28.375,43,0.113,0.0
28.5,56,0.998,0.0
28.5,60,0.998,0.0
28.5,63,0.998,0.0
28.5,68,0.998,0.0
28.5,32,0.45,0.0
28.5,44,0.45,0.0
29.5,79,0.165,0.0
29.5,70,0.373,0.0
29.5,75,0.45,0.0
29.5,73,0.45,0.0
29.667,80,0.165,0.0
29.833,82,0.15,0.0
29.875,67,0.113,0.0
30.0,80,0.998,0.0
30.0,68,0.998,0.0
30.0,75,0.998,0.0
30.0,72,0.998,0.0
30.0,63,0.998,0.0
30.0,56,0.998,0.0
31.0,67,0.165,0.0
31.0,63,0.45,0.0
31.0,58,0.165,0.0
31.0,49,0.165,0.0
31.0,51,0.45,0.0
31.0,39,0.45,0.0
31.167,68,0.165,0.0
31.167,56,0.165,0.0
31.167,48,0.165,0.0
31.333,70,0.15,0.0
31.333,55,0.15,0.0
31.333,49,0.15,0.0
